,category,message,cleaned
15418,Drug/Narcotics,MISCELLANEOUS LIQOUR LAW VIOLATION,miscellan liqour law violat
16381,Violence/Homicide,POSSESSION OF AIR GUN,possess of air gun
16743,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,attempt robberi on the street with a gun
16767,Sex Offences,"FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT",forcibl rape arm with a sharp instrument
16821,Violence/Homicide,FIREARM WITH ALTERED IDENTIFICATION,firearm with alter identif
16835,Mental Health/Bullying,SUICIDE BY FIREARMS,suicid by firearm
17029,Drug/Narcotics,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,maintain premis where narcot are sold use
17276,Sex Offences,ENGAGING IN LEWD ACT,engag in lewd act
17498,Larceny/Theft,"STOLEN ELECTRONICS, POSSESSION",stolen electron possess
17557,Drug/Narcotics,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,under influenc of drug in a public place
17658,Drug/Narcotics,TRANSPORTATION OF COCAINE,transport of cocain
17869,Violence/Homicide,"SWITCHBLADE KNIFE, POSSESSION",switchblad knife possess
17904,Violence/Homicide,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ GUN",assault aggrav on polic offic w gun
18071,Larceny/Theft,RECEIVING STOLEN PROPERTY,receiv stolen properti
18467,Kidnapping,KIDNAPPING DURING ROBBERY,kidnap dure robberi
18536,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE",burglari resid under constrt att forcibl
18563,Larceny/Theft,CARJACKING WITH BODILY FORCE,carjack with bodili forc
18607,Drug/Narcotics,POSSESSION OF AMPHETAMINE FOR SALES,possess of amphetamin for sale
18695,Violence/Homicide,DESTRUCTION OF PROPERTY WITH EXPLOSIVES,destruct of properti with explos
18916,Larceny/Theft,CARJACKING WITH A KNIFE,carjack with a knife
19382,Violence/Homicide,WILLFUL CRUELTY TO CHILD,will cruelti to child
19662,Larceny/Theft,ATTEMPTED GRAND THEFT FROM PERSON,attempt grand theft from person
19807,Violence/Homicide,ASSAULT BY POISONING,assault by poison
20168,Larceny/Theft,"THEFT, DRUNK ROLL, ATT.",theft drunk roll att
20392,Drug/Narcotics,"HYPODERMIC NEEDLE OR SYRINGE, POSSESSION",hypoderm needl or syring possess
20731,Violence/Homicide,LOITERING WHILE CARRYING CONCEALED WEAPON,loiter while carri conceal weapon
20753,Sex Offences,ATTEMPTED RAPE WITH A GUN,attempt rape with a gun
20772,Sex Offences,ASSAULT TO COMMIT MAYHEM OR SPECIFIC SEX OFFENSES,assault to commit mayhem or specif sex offens
20836,Drug/Narcotics,POSSESSION OF OPIUM FOR SALES,possess of opium for sale
21289,Violence/Homicide,"ARMOR PENETRATING AMMUNITION, POSSESSION",armor penetr ammunit possess
22870,Drug/Narcotics,POSSESSION OF OPIUM DERIVATIVE,possess of opium deriv
23038,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY",burglari apt under construct unlaw entri
23044,Larceny/Theft,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",burglari of flat attempt forcibl entri
23395,Sex Offences,"ATTEMPTED RAPE, BODILY FORCE",attempt rape bodili forc
24464,Larceny/Theft,"ROBBERY,  ATM, GUN, ATT.",robberi atm gun att
25439,Larceny/Theft,"STOLEN CHECKS, POSSESSION",stolen check possess
25771,Violence/Homicide,"FIRE, UNLAWFULLY CAUSING",fire unlaw caus
25803,Violence/Homicide,POSS OF FIREARM SILENCER,poss of firearm silenc
26135,Mental Health/Bullying,OBSTRUCTING PUBLIC THOROUGHFARE,obstruct public thoroughfar
26290,Violence/Homicide,TERRORIZING BY MARKING PRIVATE PROPERTY,terror by mark privat properti
26334,Mental Health/Bullying,ATTEMPTED SUICIDE BY INGESTION,attempt suicid by ingest
27868,Drug/Narcotics,POSSESSION OF AMPHETAMINE,possess of amphetamin
29145,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, ATT. FORCIBLE",burglari apt under construct att forcibl
29581,Kidnapping,"KIDNAPPING, JUVENILE VICTIM",kidnap juvenil victim
30664,Mental Health/Bullying,LODGING IN PARK,lodg in park
32122,Larceny/Theft,SAFE BURGLARY,safe burglari
32284,Violence/Homicide,SUSPICIOUS PACKAGE,suspici packag
32439,Larceny/Theft,LOOTING DURING STATE OF EMERGENCY,loot dure state of emerg
32558,Sex Offences,"ATTEMPTED RAPE, ARMED WITH A SHARP INSTRUMENT",attempt rape arm with a sharp instrument
33897,Larceny/Theft,"STOLEN COMPUTER, POSSESSION",stolen comput possess
34357,Larceny/Theft,"BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY",burglari hotel under construct unlaw entri
34606,Drug/Narcotics,FURNISHING MARIJUANA,furnish marijuana
37130,Mental Health/Bullying,LOITERS AROUND PUBLIC TOILET FOR LEWD ACT,loiter around public toilet for lewd act
37918,Larceny/Theft,"THEFT, DRUNK ROLL, <$50",theft drunk roll
38127,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH A GUN,attempt robberi of a bank with a gun
38999,Kidnapping,"ATTEMPTED KIDNAPPING, ADULT VICTIM",attempt kidnap adult victim
39868,Mental Health/Bullying,SUICIDE BY LACERATION,suicid by lacer
40103,Drug/Narcotics,TRANSPORTATION OF AMPHETAMINE,transport of amphetamin
40854,Drug/Narcotics,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,under the influenc of control substanc
41920,Violence/Homicide,"CIVIL RIGHTS, INCL. INJURY, THREAT, OR DAMAGE (HATE CRIMES)",civil right incl injuri threat or damag hate crime
41952,Larceny/Theft,"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION",stolen cellular phone non clone possess
41979,Violence/Homicide,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS",destruct devic possess of materi
42840,Larceny/Theft,PETTY THEFT MOTORCYCLE STRIP,petti theft motorcycl strip
43000,Mental Health/Bullying,ATTEMPTED SUICIDE BY STRANGULATION,attempt suicid by strangul
43083,Sex Offences,"FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON",forcibl rape arm with a danger weapon
43794,Violence/Homicide,TAMPERING WITH MARKS ON FIREARM,tamper with mark on firearm
44143,Violence/Homicide,"WEAPON, ASSAULT, REGISTRATION OR TRANSFER VIOLATION",weapon assault registr or transfer violat
44503,Larceny/Theft,GRAND THEFT BY PROSTITUTE,grand theft by prostitut
45245,Drug/Narcotics,FORGE OR ALTER PRESCRIPTION,forg or alter prescript
46136,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH A GUN,attempt robberi chain store with a gun
0,Kidnapping,He missing,he miss
1,Kidnapping,He can't find,he find
2,Kidnapping,He Don't see,he don see
3,Kidnapping,He gone,he gone
4,Kidnapping,He disappeared,he disappear
5,Kidnapping,He haven't seen,he seen
6,Kidnapping,He kidnapped,he kidnap
7,Kidnapping,He took from park,he took park
8,Kidnapping,He took from school,he took school
9,Kidnapping,He forced into car,he forc car
10,Kidnapping,He pushed into van,he push van
11,Kidnapping,He found person,he found person
12,Kidnapping,He found,he found
13,Kidnapping,He child taking,he child take
14,Kidnapping,He child stealing,he child steal
15,Kidnapping,He kidnapping adult,he kidnap adult
16,Kidnapping,He kidnapping kid,he kidnap kid
17,Kidnapping,He tried to kidnap,he tri kidnap
18,Kidnapping,He has hostages,he hostag
19,Kidnapping,He hostage,he hostag
20,Kidnapping,He taken,he taken
21,Kidnapping,He abducted,he abduct
22,Kidnapping,He my child,he child
23,Kidnapping,He my daughter,he daughter
24,Kidnapping,He my son,he son
25,Kidnapping,He human trafficking,he human traffick
26,Kidnapping,She missing,she miss
27,Kidnapping,She can't find,she find
28,Kidnapping,She Don't see,she don see
29,Kidnapping,She gone,she gone
30,Kidnapping,She disappeared,she disappear
31,Kidnapping,She haven't seen,she seen
32,Kidnapping,She kidnapped,she kidnap
33,Kidnapping,She took from park,she took park
34,Kidnapping,She took from school,she took school
35,Kidnapping,She forced into car,she forc car
36,Kidnapping,She pushed into van,she push van
37,Kidnapping,She found person,she found person
38,Kidnapping,She found,she found
39,Kidnapping,She child taking,she child take
40,Kidnapping,She child stealing,she child steal
41,Kidnapping,She kidnapping adult,she kidnap adult
42,Kidnapping,She kidnapping kid,she kidnap kid
43,Kidnapping,She tried to kidnap,she tri kidnap
44,Kidnapping,She has hostages,she hostag
45,Kidnapping,She hostage,she hostag
46,Kidnapping,She taken,she taken
47,Kidnapping,She abducted,she abduct
48,Kidnapping,She my child,she child
49,Kidnapping,She my daughter,she daughter
50,Kidnapping,She my son,she son
51,Kidnapping,She human trafficking,she human traffick
52,Kidnapping,They missing,they miss
53,Kidnapping,They can't find,they find
54,Kidnapping,They Don't see,they don see
55,Kidnapping,They gone,they gone
56,Kidnapping,They disappeared,they disappear
57,Kidnapping,They haven't seen,they seen
58,Kidnapping,They kidnapped,they kidnap
59,Kidnapping,They took from park,they took park
60,Kidnapping,They took from school,they took school
61,Kidnapping,They forced into car,they forc car
62,Kidnapping,They pushed into van,they push van
63,Kidnapping,They found person,they found person
64,Kidnapping,They found,they found
65,Kidnapping,They child taking,they child take
66,Kidnapping,They child stealing,they child steal
67,Kidnapping,They kidnapping adult,they kidnap adult
68,Kidnapping,They kidnapping kid,they kidnap kid
69,Kidnapping,They tried to kidnap,they tri kidnap
70,Kidnapping,They has hostages,they hostag
71,Kidnapping,They hostage,they hostag
72,Kidnapping,They taken,they taken
73,Kidnapping,They abducted,they abduct
74,Kidnapping,They my child,they child
75,Kidnapping,They my daughter,they daughter
76,Kidnapping,They my son,they son
77,Kidnapping,They human trafficking,they human traffick
78,Kidnapping,Us missing,us miss
79,Kidnapping,Us can't find,us find
80,Kidnapping,Us Don't see,us don see
81,Kidnapping,Us gone,us gone
82,Kidnapping,Us disappeared,us disappear
83,Kidnapping,Us haven't seen,us seen
84,Kidnapping,Us kidnapped,us kidnap
85,Kidnapping,Us took from park,us took park
86,Kidnapping,Us took from school,us took school
87,Kidnapping,Us forced into car,us forc car
88,Kidnapping,Us pushed into van,us push van
89,Kidnapping,Us found person,us found person
90,Kidnapping,Us found,us found
91,Kidnapping,Us child taking,us child take
92,Kidnapping,Us child stealing,us child steal
93,Kidnapping,Us kidnapping adult,us kidnap adult
94,Kidnapping,Us kidnapping kid,us kidnap kid
95,Kidnapping,Us tried to kidnap,us tri kidnap
96,Kidnapping,Us has hostages,us hostag
97,Kidnapping,Us hostage,us hostag
98,Kidnapping,Us taken,us taken
99,Kidnapping,Us abducted,us abduct
100,Kidnapping,Us my child,us child
101,Kidnapping,Us my daughter,us daughter
102,Kidnapping,Us my son,us son
103,Kidnapping,Us human trafficking,us human traffick
104,Kidnapping,A guy missing,a guy miss
105,Kidnapping,A guy can't find,a guy find
106,Kidnapping,A guy Don't see,a guy don see
107,Kidnapping,A guy gone,a guy gone
108,Kidnapping,A guy disappeared,a guy disappear
109,Kidnapping,A guy haven't seen,a guy seen
110,Kidnapping,A guy kidnapped,a guy kidnap
111,Kidnapping,A guy took from park,a guy took park
112,Kidnapping,A guy took from school,a guy took school
113,Kidnapping,A guy forced into car,a guy forc car
114,Kidnapping,A guy pushed into van,a guy push van
115,Kidnapping,A guy found person,a guy found person
116,Kidnapping,A guy found,a guy found
117,Kidnapping,A guy child taking,a guy child take
118,Kidnapping,A guy child stealing,a guy child steal
119,Kidnapping,A guy kidnapping adult,a guy kidnap adult
120,Kidnapping,A guy kidnapping kid,a guy kidnap kid
121,Kidnapping,A guy tried to kidnap,a guy tri kidnap
122,Kidnapping,A guy has hostages,a guy hostag
123,Kidnapping,A guy hostage,a guy hostag
124,Kidnapping,A guy taken,a guy taken
125,Kidnapping,A guy abducted,a guy abduct
126,Kidnapping,A guy my child,a guy child
127,Kidnapping,A guy my daughter,a guy daughter
128,Kidnapping,A guy my son,a guy son
129,Kidnapping,A guy human trafficking,a guy human traffick
130,Kidnapping,A girl missing,a girl miss
131,Kidnapping,A girl can't find,a girl find
132,Kidnapping,A girl Don't see,a girl don see
133,Kidnapping,A girl gone,a girl gone
134,Kidnapping,A girl disappeared,a girl disappear
135,Kidnapping,A girl haven't seen,a girl seen
136,Kidnapping,A girl kidnapped,a girl kidnap
137,Kidnapping,A girl took from park,a girl took park
138,Kidnapping,A girl took from school,a girl took school
139,Kidnapping,A girl forced into car,a girl forc car
140,Kidnapping,A girl pushed into van,a girl push van
141,Kidnapping,A girl found person,a girl found person
142,Kidnapping,A girl found,a girl found
143,Kidnapping,A girl child taking,a girl child take
144,Kidnapping,A girl child stealing,a girl child steal
145,Kidnapping,A girl kidnapping adult,a girl kidnap adult
146,Kidnapping,A girl kidnapping kid,a girl kidnap kid
147,Kidnapping,A girl tried to kidnap,a girl tri kidnap
148,Kidnapping,A girl has hostages,a girl hostag
149,Kidnapping,A girl hostage,a girl hostag
150,Kidnapping,A girl taken,a girl taken
151,Kidnapping,A girl abducted,a girl abduct
152,Kidnapping,A girl my child,a girl child
153,Kidnapping,A girl my daughter,a girl daughter
154,Kidnapping,A girl my son,a girl son
155,Kidnapping,A girl human trafficking,a girl human traffick
156,Kidnapping,A man missing,a man miss
157,Kidnapping,A man can't find,a man find
158,Kidnapping,A man Don't see,a man don see
159,Kidnapping,A man gone,a man gone
160,Kidnapping,A man disappeared,a man disappear
161,Kidnapping,A man haven't seen,a man seen
162,Kidnapping,A man kidnapped,a man kidnap
163,Kidnapping,A man took from park,a man took park
164,Kidnapping,A man took from school,a man took school
165,Kidnapping,A man forced into car,a man forc car
166,Kidnapping,A man pushed into van,a man push van
167,Kidnapping,A man found person,a man found person
168,Kidnapping,A man found,a man found
169,Kidnapping,A man child taking,a man child take
170,Kidnapping,A man child stealing,a man child steal
171,Kidnapping,A man kidnapping adult,a man kidnap adult
172,Kidnapping,A man kidnapping kid,a man kidnap kid
173,Kidnapping,A man tried to kidnap,a man tri kidnap
174,Kidnapping,A man has hostages,a man hostag
175,Kidnapping,A man hostage,a man hostag
176,Kidnapping,A man taken,a man taken
177,Kidnapping,A man abducted,a man abduct
178,Kidnapping,A man my child,a man child
179,Kidnapping,A man my daughter,a man daughter
180,Kidnapping,A man my son,a man son
181,Kidnapping,A man human trafficking,a man human traffick
182,Kidnapping,A woman missing,a woman miss
183,Kidnapping,A woman can't find,a woman find
184,Kidnapping,A woman Don't see,a woman don see
185,Kidnapping,A woman gone,a woman gone
186,Kidnapping,A woman disappeared,a woman disappear
187,Kidnapping,A woman haven't seen,a woman seen
188,Kidnapping,A woman kidnapped,a woman kidnap
189,Kidnapping,A woman took from park,a woman took park
190,Kidnapping,A woman took from school,a woman took school
191,Kidnapping,A woman forced into car,a woman forc car
192,Kidnapping,A woman pushed into van,a woman push van
193,Kidnapping,A woman found person,a woman found person
194,Kidnapping,A woman found,a woman found
195,Kidnapping,A woman child taking,a woman child take
196,Kidnapping,A woman child stealing,a woman child steal
197,Kidnapping,A woman kidnapping adult,a woman kidnap adult
198,Kidnapping,A woman kidnapping kid,a woman kidnap kid
199,Kidnapping,A woman tried to kidnap,a woman tri kidnap
200,Kidnapping,A woman has hostages,a woman hostag
201,Kidnapping,A woman hostage,a woman hostag
202,Kidnapping,A woman taken,a woman taken
203,Kidnapping,A woman abducted,a woman abduct
204,Kidnapping,A woman my child,a woman child
205,Kidnapping,A woman my daughter,a woman daughter
206,Kidnapping,A woman my son,a woman son
207,Kidnapping,A woman human trafficking,a woman human traffick
208,Kidnapping,That guy missing,that guy miss
209,Kidnapping,That guy can't find,that guy find
210,Kidnapping,That guy Don't see,that guy don see
211,Kidnapping,That guy gone,that guy gone
212,Kidnapping,That guy disappeared,that guy disappear
213,Kidnapping,That guy haven't seen,that guy seen
214,Kidnapping,That guy kidnapped,that guy kidnap
215,Kidnapping,That guy took from park,that guy took park
216,Kidnapping,That guy took from school,that guy took school
217,Kidnapping,That guy forced into car,that guy forc car
218,Kidnapping,That guy pushed into van,that guy push van
219,Kidnapping,That guy found person,that guy found person
220,Kidnapping,That guy found,that guy found
221,Kidnapping,That guy child taking,that guy child take
222,Kidnapping,That guy child stealing,that guy child steal
223,Kidnapping,That guy kidnapping adult,that guy kidnap adult
224,Kidnapping,That guy kidnapping kid,that guy kidnap kid
225,Kidnapping,That guy tried to kidnap,that guy tri kidnap
226,Kidnapping,That guy has hostages,that guy hostag
227,Kidnapping,That guy hostage,that guy hostag
228,Kidnapping,That guy taken,that guy taken
229,Kidnapping,That guy abducted,that guy abduct
230,Kidnapping,That guy my child,that guy child
231,Kidnapping,That guy my daughter,that guy daughter
232,Kidnapping,That guy my son,that guy son
233,Kidnapping,That guy human trafficking,that guy human traffick
234,Kidnapping,My neighbour missing,my neighbour miss
235,Kidnapping,My neighbour can't find,my neighbour find
236,Kidnapping,My neighbour Don't see,my neighbour don see
237,Kidnapping,My neighbour gone,my neighbour gone
238,Kidnapping,My neighbour disappeared,my neighbour disappear
239,Kidnapping,My neighbour haven't seen,my neighbour seen
240,Kidnapping,My neighbour kidnapped,my neighbour kidnap
241,Kidnapping,My neighbour took from park,my neighbour took park
242,Kidnapping,My neighbour took from school,my neighbour took school
243,Kidnapping,My neighbour forced into car,my neighbour forc car
244,Kidnapping,My neighbour pushed into van,my neighbour push van
245,Kidnapping,My neighbour found person,my neighbour found person
246,Kidnapping,My neighbour found,my neighbour found
247,Kidnapping,My neighbour child taking,my neighbour child take
248,Kidnapping,My neighbour child stealing,my neighbour child steal
249,Kidnapping,My neighbour kidnapping adult,my neighbour kidnap adult
250,Kidnapping,My neighbour kidnapping kid,my neighbour kidnap kid
251,Kidnapping,My neighbour tried to kidnap,my neighbour tri kidnap
252,Kidnapping,My neighbour has hostages,my neighbour hostag
253,Kidnapping,My neighbour hostage,my neighbour hostag
254,Kidnapping,My neighbour taken,my neighbour taken
255,Kidnapping,My neighbour abducted,my neighbour abduct
256,Kidnapping,My neighbour my child,my neighbour child
257,Kidnapping,My neighbour my daughter,my neighbour daughter
258,Kidnapping,My neighbour my son,my neighbour son
259,Kidnapping,My neighbour human trafficking,my neighbour human traffick
260,Kidnapping,My friend missing,my friend miss
261,Kidnapping,My friend can't find,my friend find
262,Kidnapping,My friend Don't see,my friend don see
263,Kidnapping,My friend gone,my friend gone
264,Kidnapping,My friend disappeared,my friend disappear
265,Kidnapping,My friend haven't seen,my friend seen
266,Kidnapping,My friend kidnapped,my friend kidnap
267,Kidnapping,My friend took from park,my friend took park
268,Kidnapping,My friend took from school,my friend took school
269,Kidnapping,My friend forced into car,my friend forc car
270,Kidnapping,My friend pushed into van,my friend push van
271,Kidnapping,My friend found person,my friend found person
272,Kidnapping,My friend found,my friend found
273,Kidnapping,My friend child taking,my friend child take
274,Kidnapping,My friend child stealing,my friend child steal
275,Kidnapping,My friend kidnapping adult,my friend kidnap adult
276,Kidnapping,My friend kidnapping kid,my friend kidnap kid
277,Kidnapping,My friend tried to kidnap,my friend tri kidnap
278,Kidnapping,My friend has hostages,my friend hostag
279,Kidnapping,My friend hostage,my friend hostag
280,Kidnapping,My friend taken,my friend taken
281,Kidnapping,My friend abducted,my friend abduct
282,Kidnapping,My friend my child,my friend child
283,Kidnapping,My friend my daughter,my friend daughter
284,Kidnapping,My friend my son,my friend son
285,Kidnapping,My friend human trafficking,my friend human traffick
286,Kidnapping,a person missing,person miss
287,Kidnapping,a person can't find,person find
288,Kidnapping,a person Don't see,person don see
289,Kidnapping,a person gone,person gone
290,Kidnapping,a person disappeared,person disappear
291,Kidnapping,a person haven't seen,person seen
292,Kidnapping,a person kidnapped,person kidnap
293,Kidnapping,a person took from park,person took park
294,Kidnapping,a person took from school,person took school
